nct_id,title,status,risk_label,risk_group,phase,study_type,sponsor_class,sex,enrollment_type,enrollment_count,log_enrollment_count,num_conditions,num_interventions,num_locations,num_countries,eligibility_text_length,brief_summary_length,start_year,has_placebo,adult_only,phase_missing,maximum_age_missing,locations_missing,interventions_missing
NCT05569343,Risk Factors for Achieving TO After LDPPHR-t,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,31.0,3.4657359027997265,1,1,1,1,241,187,2020.0,0,1,1,0,0,0
NCT02757443,Myocardial Protection With Phosphocreatine in High-RIsk Cardiac SurgEry Patients,COMPLETED,0,low risk,PHASE3,INTERVENTIONAL,NETWORK,ALL,ACTUAL,120.0,4.795790545596741,2,8,1,1,938,1041,2016.0,1,1,0,0,0,0
NCT05653115,Portal Hypetension and Bariatric Surgery (BARIAPORTAL),COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,63.0,4.1588830833596715,3,1,1,1,621,2072,2022.0,0,1,1,0,0,0
NCT02699515,MSB0011359C (M7824) in Participants With Metastatic or Locally Advanced Solid Tumors,COMPLETED,0,low risk,PHASE1,INTERVENTIONAL,INDUSTRY,ALL,ACTUAL,114.0,4.74493212836325,1,1,18,3,2763,296,2016.0,0,1,0,0,0,0
NCT06218615,Expanding Clinical Trial Awareness Among Black Communities Through Digital Engagement,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,109.0,4.700480365792417,1,2,1,1,354,931,2024.0,0,1,1,0,0,0
NCT01486615,Premedication With Melatonin and Alprazolam Combination Versus Alprazolam or Melatonin Alone,COMPLETED,0,low risk,PHASE4,INTERVENTIONAL,OTHER,ALL,ACTUAL,80.0,4.394449154672439,1,4,2,1,370,650,2011.0,1,1,0,0,0,0
NCT01577615,Patterned Experience for Preterm Infants,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,ALL,ACTUAL,121.0,4.804021044733257,1,1,2,1,209,406,2012.0,0,0,1,0,0,0
NCT04362878,Psychological Assessment of Patients With Chest Wall Deformities,COMPLETED,0,low risk,MISSING,OBSERVATIONAL,OTHER,ALL,ACTUAL,209.0,5.3471075307174685,2,0,1,1,509,138,2019.0,0,0,1,0,0,0
NCT03735043,Cardiac Output Monitoring by ccNexfin© in Pregnant Women,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,OTHER,FEMALE,ACTUAL,100.0,4.61512051684126,1,1,1,1,410,612,2019.0,0,1,1,0,0,0
NCT00260715,A Community-Based Intervention With Popular Opinion Leaders (C-POL) in Texas,COMPLETED,0,low risk,MISSING,INTERVENTIONAL,FED,ALL,MISSING,1200.0,7.0909098220799835,2,2,1,1,216,490,2002.0,0,1,1,0,0,0
