feature,coefficient,abs_coefficient,direction
categorical__enrollment_type_ESTIMATED,2.52110636724199,2.52110636724199,higher_risk
numeric__log_enrollment_count,-1.993262875027255,1.993262875027255,lower_risk
categorical__enrollment_type_MISSING,-1.2560454740753813,1.2560454740753813,lower_risk
categorical__enrollment_type_ACTUAL,-1.2497228106652303,1.2497228106652303,lower_risk
categorical__phase_PHASE1,-0.9810406548417553,0.9810406548417553,lower_risk
categorical__phase_PHASE1; PHASE2,-0.8964373310190862,0.8964373310190862,lower_risk
categorical__sponsor_class_OTHER,-0.806215096594869,0.806215096594869,lower_risk
numeric__enrollment_count,0.7399974151003447,0.7399974151003447,higher_risk
categorical__sponsor_class_OTHER_GOV,0.633542898983258,0.633542898983258,higher_risk
categorical__phase_PHASE3,0.6239477499792252,0.6239477499792252,higher_risk
categorical__phase_PHASE2,0.6189783781849848,0.6189783781849848,higher_risk
numeric__num_conditions,0.5182678966754599,0.5182678966754599,higher_risk
categorical__phase_PHASE4,0.47944663053160463,0.47944663053160463,higher_risk
categorical__sponsor_class_INDIV,0.40818665880068417,0.40818665880068417,higher_risk
categorical__study_type_OBSERVATIONAL,0.37760168170462727,0.37760168170462727,higher_risk
categorical__study_type_INTERVENTIONAL,-0.3622635992032508,0.3622635992032508,lower_risk
categorical__phase_PHASE2; PHASE3,0.30898233494658367,0.30898233494658367,higher_risk
categorical__sponsor_class_NETWORK,0.27279708907300504,0.27279708907300504,higher_risk
numeric__eligibility_text_length,0.26073523772812224,0.26073523772812224,higher_risk
numeric__has_placebo,0.257691939527508,0.257691939527508,higher_risk
categorical__sponsor_class_FED,-0.2459399876655608,0.2459399876655608,lower_risk
numeric__phase_missing,-0.1944305521096487,0.1944305521096487,lower_risk
categorical__sponsor_class_NIH,-0.1674355238457689,0.1674355238457689,lower_risk
numeric__adult_only,0.1281004697824053,0.1281004697824053,higher_risk
numeric__start_year,0.10446517559383324,0.10446517559383324,higher_risk
categorical__phase_MISSING,-0.0891422664995488,0.0891422664995488,lower_risk
numeric__num_countries,0.08381639669901471,0.08381639669901471,higher_risk
categorical__sponsor_class_INDUSTRY,-0.07959795624937568,0.07959795624937568,lower_risk
numeric__brief_summary_length,0.07392160810626756,0.07392160810626756,higher_risk
categorical__phase_EARLY_PHASE1,-0.04939675878063141,0.04939675878063141,lower_risk
numeric__num_locations,0.02107829429743938,0.02107829429743938,higher_risk
categorical__sex_MALE,0.01364778241670296,0.01364778241670296,higher_risk
categorical__sex_FEMALE,0.009733987171062379,0.009733987171062379,higher_risk
categorical__sex_ALL,-0.00804368708639034,0.00804368708639034,lower_risk
numeric__num_interventions,0.004805351234211184,0.004805351234211184,higher_risk
numeric__interventions_missing,0.0,0.0,lower_risk
numeric__maximum_age_missing,0.0,0.0,lower_risk
numeric__locations_missing,0.0,0.0,lower_risk
