feature,coefficient,abs_coefficient,direction
categorical__enrollment_type_ESTIMATED,2.717486432461306,2.717486432461306,higher_risk
numeric__log_enrollment_count,-1.9361444102197212,1.9361444102197212,lower_risk
categorical__enrollment_type_ACTUAL,-1.4081517928880307,1.4081517928880307,lower_risk
categorical__enrollment_type_MISSING,-1.2753482202506816,1.2753482202506816,lower_risk
numeric__enrollment_count,0.7425359066695577,0.7425359066695577,higher_risk
categorical__phase_PHASE1,-0.6911009146255573,0.6911009146255573,lower_risk
categorical__phase_EARLY_PHASE1,-0.6184192927426201,0.6184192927426201,lower_risk
categorical__sex_MALE,-0.43147632052756996,0.43147632052756996,lower_risk
categorical__phase_PHASE3,0.424281519141485,0.424281519141485,higher_risk
categorical__sex_ALL,0.4151782049337625,0.4151782049337625,higher_risk
categorical__sponsor_class_FED,-0.3366991080118283,0.3366991080118283,lower_risk
categorical__phase_PHASE1; PHASE2,0.32662975659628757,0.32662975659628757,higher_risk
numeric__eligibility_text_length,0.3245157658157669,0.3245157658157669,higher_risk
categorical__sponsor_class_INDUSTRY,0.28335464882164413,0.28335464882164413,higher_risk
categorical__phase_PHASE2,0.25746172201184975,0.25746172201184975,higher_risk
numeric__num_conditions,0.20741589010901484,0.20741589010901484,higher_risk
categorical__phase_PHASE4,0.19359683311304662,0.19359683311304662,higher_risk
categorical__phase_PHASE2; PHASE3,0.17528825551711752,0.17528825551711752,higher_risk
categorical__sponsor_class_OTHER_GOV,0.15225222599442098,0.15225222599442098,higher_risk
numeric__start_year,0.14871876657737862,0.14871876657737862,higher_risk
numeric__num_locations,0.1326847461190369,0.1326847461190369,higher_risk
categorical__sponsor_class_NETWORK,-0.11840821568170762,0.11840821568170762,lower_risk
categorical__sponsor_class_OTHER,0.11835057535092537,0.11835057535092537,higher_risk
categorical__study_type_OBSERVATIONAL,0.1063056781435717,0.1063056781435717,higher_risk
numeric__phase_missing,-0.1029789283403587,0.1029789283403587,lower_risk
numeric__num_countries,0.10136715214314065,0.10136715214314065,higher_risk
numeric__num_interventions,0.09195910445093257,0.09195910445093257,higher_risk
numeric__brief_summary_length,-0.08696170591980919,0.08696170591980919,lower_risk
numeric__has_placebo,0.07636928199378305,0.07636928199378305,higher_risk
categorical__study_type_INTERVENTIONAL,-0.07231925882097974,0.07231925882097974,lower_risk
numeric__adult_only,0.06720205971935653,0.06720205971935653,higher_risk
categorical__sex_FEMALE,0.050284534916401835,0.050284534916401835,higher_risk
categorical__sponsor_class_NIH,-0.047909619854438944,0.047909619854438944,lower_risk
categorical__phase_MISSING,-0.033751459689012726,0.033751459689012726,lower_risk
categorical__sponsor_class_INDIV,-0.016954087296421144,0.016954087296421144,lower_risk
numeric__interventions_missing,0.0,0.0,lower_risk
numeric__maximum_age_missing,0.0,0.0,lower_risk
numeric__locations_missing,0.0,0.0,lower_risk
