feature,coefficient,abs_coefficient,direction
categorical__phase_PHASE1; PHASE2,0.452579782762774,0.452579782762774,higher_risk
categorical__sponsor_class_FED,-0.3919696159129016,0.3919696159129016,lower_risk
numeric__start_year,0.35854415300267534,0.35854415300267534,higher_risk
numeric__eligibility_text_length,0.3310727877849467,0.3310727877849467,higher_risk
categorical__sponsor_class_NETWORK,-0.32912644588753776,0.32912644588753776,lower_risk
categorical__phase_PHASE1,-0.2753775481597378,0.2753775481597378,lower_risk
categorical__phase_PHASE2,0.26280634464181307,0.26280634464181307,higher_risk
categorical__sponsor_class_OTHER,0.2519920765757274,0.2519920765757274,higher_risk
categorical__phase_PHASE2; PHASE3,-0.23185025601555442,0.23185025601555442,lower_risk
categorical__sex_ALL,0.17035538413411472,0.17035538413411472,higher_risk
categorical__sex_FEMALE,-0.16919587181347817,0.16919587181347817,lower_risk
numeric__phase_missing,-0.16424218906287485,0.16424218906287485,lower_risk
numeric__num_conditions,0.15947509983325509,0.15947509983325509,higher_risk
categorical__phase_PHASE4,-0.14803933914744047,0.14803933914744047,lower_risk
categorical__sponsor_class_NIH,0.14176624734696422,0.14176624734696422,higher_risk
categorical__phase_MISSING,-0.13562775664269638,0.13562775664269638,lower_risk
categorical__sponsor_class_OTHER_GOV,0.13294812107118534,0.13294812107118534,higher_risk
numeric__num_countries,-0.11944492830855394,0.11944492830855394,lower_risk
categorical__phase_PHASE3,-0.10681175560501135,0.10681175560501135,lower_risk
categorical__sex_MALE,-0.10406766875728675,0.10406766875728675,lower_risk
categorical__study_type_OBSERVATIONAL,-0.10002311973170117,0.10002311973170117,lower_risk
numeric__num_locations,-0.08957704615991788,0.08957704615991788,lower_risk
categorical__phase_EARLY_PHASE1,0.07941237172920046,0.07941237172920046,higher_risk
categorical__sponsor_class_INDUSTRY,0.0764752894509914,0.0764752894509914,higher_risk
numeric__brief_summary_length,-0.07354533212324645,0.07354533212324645,lower_risk
numeric__num_interventions,0.030369682342191544,0.030369682342191544,higher_risk
numeric__adult_only,0.03000682091464901,0.03000682091464901,higher_risk
categorical__sponsor_class_INDIV,0.015006170918917103,0.015006170918917103,higher_risk
categorical__study_type_INTERVENTIONAL,-0.0028850367049526927,0.0028850367049526927,lower_risk
numeric__has_placebo,-0.0014837159461332072,0.0014837159461332072,lower_risk
numeric__locations_missing,0.0,0.0,lower_risk
numeric__interventions_missing,0.0,0.0,lower_risk
numeric__maximum_age_missing,0.0,0.0,lower_risk
