feature,importance
numeric__log_enrollment_count,0.24927414111302973
numeric__enrollment_count,0.22760575739704045
categorical__enrollment_type_ESTIMATED,0.141423445377089
categorical__enrollment_type_ACTUAL,0.09342630404005876
numeric__eligibility_text_length,0.056187874539661516
numeric__start_year,0.04803625016920248
numeric__brief_summary_length,0.04496198550289089
numeric__num_locations,0.020409914642850014
categorical__phase_PHASE2,0.01853563597162387
numeric__num_countries,0.017520327853097286
numeric__num_conditions,0.01675470408590492
numeric__num_interventions,0.01029472997320647
categorical__phase_MISSING,0.009164633602158514
numeric__phase_missing,0.007695670465475802
categorical__sponsor_class_OTHER,0.005997649533292211
categorical__sponsor_class_INDUSTRY,0.0053242172999334566
numeric__has_placebo,0.003472181077807351
categorical__phase_PHASE1,0.0030680128867393484
numeric__adult_only,0.0029385137533033245
categorical__phase_PHASE4,0.002352517698206946
categorical__phase_PHASE3,0.0023122577145385263
categorical__study_type_OBSERVATIONAL,0.002238843867908101
categorical__sex_FEMALE,0.002229386719443728
categorical__sex_ALL,0.002227629359233035
categorical__study_type_INTERVENTIONAL,0.0020425511438785606
categorical__sponsor_class_NIH,0.0015608048635746572
categorical__sponsor_class_OTHER_GOV,0.0014662119904345523
categorical__enrollment_type_MISSING,0.0010447915307823328
categorical__phase_EARLY_PHASE1,0.00027066726817796507
categorical__phase_PHASE1; PHASE2,0.000115875335954143
categorical__sex_MALE,3.425461005344111e-05
categorical__phase_PHASE2; PHASE3,1.2258613448762488e-05
numeric__maximum_age_missing,0.0
numeric__locations_missing,0.0
numeric__interventions_missing,0.0
categorical__sponsor_class_NETWORK,0.0
categorical__sponsor_class_FED,0.0
categorical__sponsor_class_INDIV,0.0
