feature,importance
numeric__log_enrollment_count,0.2588414127840955
numeric__enrollment_count,0.22783298956139206
categorical__enrollment_type_ESTIMATED,0.1439292271817589
categorical__enrollment_type_ACTUAL,0.09980356778369597
numeric__eligibility_text_length,0.0582662721846511
numeric__start_year,0.05072541557205358
numeric__brief_summary_length,0.0353163445410259
numeric__num_locations,0.023034903060622936
numeric__num_interventions,0.014085121026629632
numeric__num_countries,0.011436258589181871
numeric__num_conditions,0.011002672240854352
categorical__enrollment_type_MISSING,0.0091028660227185
categorical__phase_PHASE2,0.0074150692588318455
categorical__phase_MISSING,0.007286660457290259
numeric__phase_missing,0.005935455528412218
categorical__sponsor_class_OTHER,0.004500671059689165
categorical__sponsor_class_INDUSTRY,0.004274613217317713
categorical__sex_ALL,0.003673895854482535
numeric__adult_only,0.0030545719285011022
categorical__study_type_INTERVENTIONAL,0.002615768825730504
categorical__study_type_OBSERVATIONAL,0.0024273817651364145
categorical__sex_FEMALE,0.002216809183964659
numeric__has_placebo,0.0021932579586633276
categorical__phase_PHASE1; PHASE2,0.0021922668360922753
categorical__phase_PHASE1,0.002121790664044153
categorical__phase_PHASE4,0.0017750378002071585
categorical__phase_PHASE3,0.001351493239450105
categorical__sponsor_class_NIH,0.0013015980150210594
categorical__sponsor_class_OTHER_GOV,0.0007838559483097442
categorical__phase_EARLY_PHASE1,0.0005649757634063155
categorical__sex_MALE,0.00048308941694339655
categorical__sponsor_class_NETWORK,0.00032458213909644217
categorical__phase_PHASE2; PHASE3,8.200415947289607e-05
categorical__sponsor_class_FED,4.810043125665761e-05
numeric__interventions_missing,0.0
numeric__locations_missing,0.0
numeric__maximum_age_missing,0.0
categorical__sponsor_class_INDIV,0.0
