feature,importance
numeric__eligibility_text_length,0.22529064159739506
numeric__start_year,0.19527181057759485
numeric__brief_summary_length,0.15605879975532658
numeric__num_locations,0.0733433852035555
numeric__num_interventions,0.055938501262655836
numeric__num_conditions,0.048648751926836396
numeric__num_countries,0.03781731521164162
categorical__phase_MISSING,0.021271213341633302
categorical__sponsor_class_OTHER,0.020520929347878004
numeric__phase_missing,0.019798250396150286
categorical__phase_PHASE2,0.018938663694260914
numeric__adult_only,0.015670635416320876
categorical__sponsor_class_INDUSTRY,0.015542398863393569
categorical__study_type_INTERVENTIONAL,0.010809976294973347
numeric__has_placebo,0.01063612586641259
categorical__sex_ALL,0.010235612389278208
categorical__phase_PHASE3,0.009733533927144272
categorical__phase_PHASE1; PHASE2,0.009309251494326138
categorical__study_type_OBSERVATIONAL,0.009076318193851544
categorical__phase_PHASE4,0.00833297825585307
categorical__phase_PHASE1,0.008059134619575487
categorical__sex_FEMALE,0.005364033510847057
categorical__sponsor_class_NIH,0.003363134585611803
categorical__phase_EARLY_PHASE1,0.003068556902403884
categorical__sex_MALE,0.002258339009563092
categorical__phase_PHASE2; PHASE3,0.0019898557749531655
categorical__sponsor_class_OTHER_GOV,0.0015863395379999486
categorical__sponsor_class_NETWORK,0.0015425683333017612
categorical__sponsor_class_FED,0.0005229447092618315
numeric__locations_missing,0.0
numeric__maximum_age_missing,0.0
numeric__interventions_missing,0.0
categorical__sponsor_class_INDIV,0.0
