feature,importance
categorical__enrollment_type_ESTIMATED,0.16756418
numeric__log_enrollment_count,0.11743198
categorical__enrollment_type_ACTUAL,0.09071066
numeric__enrollment_count,0.059592277
numeric__phase_missing,0.052068196
categorical__phase_MISSING,0.03895102
categorical__sponsor_class_OTHER,0.038268555
numeric__eligibility_text_length,0.02817781
numeric__start_year,0.027954228
numeric__num_countries,0.026992146
numeric__brief_summary_length,0.026909573
categorical__phase_PHASE2,0.025574261
categorical__sex_ALL,0.025567371
categorical__enrollment_type_MISSING,0.02469517
numeric__num_interventions,0.02431079
numeric__num_conditions,0.023453167
numeric__has_placebo,0.022142127
categorical__sponsor_class_OTHER_GOV,0.021707732
categorical__phase_PHASE1,0.021096468
categorical__phase_PHASE3,0.021052293
categorical__study_type_OBSERVATIONAL,0.020580657
categorical__study_type_INTERVENTIONAL,0.020085981
categorical__phase_PHASE4,0.019660294
numeric__num_locations,0.019307801
numeric__adult_only,0.018163497
categorical__sponsor_class_INDUSTRY,0.017981706
numeric__maximum_age_missing,0.0
numeric__locations_missing,0.0
categorical__phase_EARLY_PHASE1,0.0
numeric__interventions_missing,0.0
categorical__phase_PHASE2; PHASE3,0.0
categorical__phase_PHASE1; PHASE2,0.0
categorical__sponsor_class_INDIV,0.0
categorical__sponsor_class_FED,0.0
categorical__sponsor_class_NIH,0.0
categorical__sponsor_class_NETWORK,0.0
categorical__sex_FEMALE,0.0
categorical__sex_MALE,0.0
