feature,importance
categorical__enrollment_type_ESTIMATED,0.21918231
categorical__enrollment_type_ACTUAL,0.1250311
numeric__log_enrollment_count,0.097846545
numeric__enrollment_count,0.06807964
categorical__phase_PHASE2,0.05134201
numeric__phase_missing,0.043561574
categorical__phase_MISSING,0.036094088
categorical__enrollment_type_MISSING,0.034982786
numeric__eligibility_text_length,0.021515576
numeric__num_locations,0.02141987
numeric__start_year,0.020251654
categorical__study_type_INTERVENTIONAL,0.018710485
categorical__phase_PHASE1; PHASE2,0.018189041
categorical__phase_PHASE1,0.017342016
categorical__sex_ALL,0.017009957
numeric__num_countries,0.016653443
categorical__sponsor_class_OTHER_GOV,0.015349873
numeric__num_interventions,0.015229197
numeric__brief_summary_length,0.014965174
numeric__adult_only,0.0144088045
categorical__sex_MALE,0.014400947
categorical__sponsor_class_NIH,0.0127970185
categorical__sponsor_class_OTHER,0.0121244285
categorical__sponsor_class_INDUSTRY,0.011581478
numeric__num_conditions,0.0111186365
numeric__has_placebo,0.010880637
categorical__sex_FEMALE,0.010534952
categorical__sponsor_class_FED,0.010326545
categorical__phase_PHASE4,0.010083501
categorical__phase_EARLY_PHASE1,0.008986745
categorical__phase_PHASE3,0.0
categorical__phase_PHASE2; PHASE3,0.0
numeric__interventions_missing,0.0
numeric__locations_missing,0.0
numeric__maximum_age_missing,0.0
categorical__sponsor_class_NETWORK,0.0
categorical__study_type_OBSERVATIONAL,0.0
categorical__sponsor_class_INDIV,0.0
