feature,importance
categorical__phase_MISSING,0.06342685
categorical__sponsor_class_NETWORK,0.05592977
numeric__phase_missing,0.055349477
numeric__num_countries,0.049338687
numeric__start_year,0.04697331
categorical__sex_MALE,0.04267931
numeric__num_locations,0.042171143
numeric__eligibility_text_length,0.0399546
numeric__has_placebo,0.03710888
categorical__sponsor_class_INDUSTRY,0.033509746
categorical__phase_PHASE1; PHASE2,0.03349476
categorical__phase_PHASE4,0.032599833
numeric__brief_summary_length,0.032568734
categorical__phase_PHASE2,0.032530066
categorical__sponsor_class_NIH,0.03110513
categorical__sex_ALL,0.030534467
categorical__sponsor_class_OTHER_GOV,0.03014461
numeric__num_interventions,0.028201917
categorical__sponsor_class_FED,0.02787739
categorical__phase_PHASE3,0.02736145
numeric__adult_only,0.027154926
categorical__sex_FEMALE,0.0267643
categorical__phase_EARLY_PHASE1,0.026182618
numeric__num_conditions,0.02589293
categorical__phase_PHASE2; PHASE3,0.025837941
categorical__study_type_INTERVENTIONAL,0.02530454
categorical__sponsor_class_OTHER,0.02507687
categorical__phase_PHASE1,0.023452448
categorical__study_type_OBSERVATIONAL,0.02147327
numeric__locations_missing,0.0
numeric__maximum_age_missing,0.0
numeric__interventions_missing,0.0
categorical__sponsor_class_INDIV,0.0
